name,adress,totalReviews,score,description,categories,equipments,roomFeats,roomTypes,img,url
Hotel Ekta,"08 52 rue Galilee, 75008 Paris France",873 reviews,4.5,"With a design inspired by the 70s, modern, contemporary, signed Jean-Philippe Nuel and Natasha Stojkovic, the hotel Ekta Paris invite you to live under the charm of fashion two steps away from the famous Champs-Elysees and Arc de Triomphe. Chic and warm, the Ekta is a Boutique Hotel 3 star Deluxe, unique and unusual, in a legendary district, close to the Avenue George V and the Lido, near to Avenue Montaigne, the Grand Palais and the Petit Palais and the shops of major French brands like Louis Vuitton, Cartier, Laduree ... Perfect for a romantic weekend, a business trip or an original stay, the hotel Ekta has 25 rooms including 5 suites, comfortable and trendy design. Decoration in homage to fashion, warm and efficient welcome: Ekta hotel makes you live an exceptional journey in Paris between the Arc de Triomphe and Place de la Concorde.",3,Paid private parking on-site|Free High Speed Internet (WiFi)|Bar / lounge|Babysitting|Airport transportation|Baggage storage|Concierge|24-hour front desk|Parking|Wifi|Breakfast buffet|Breakfast in the room|Complimentary instant cofffee|Taxi service|Newspaper|Non-smoking hotel|Dry cleaning|Laundry service|Ironing service,Soundproof rooms|Air conditioning|Housekeeping|Room service|Safe|Minibar|Flatscreen TV|Complimentary toiletries|Telephone|Hair dryer,Non-smoking rooms|Suites|Family rooms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/82/2d/4c/guest-room.jpg?w=900&h=-1&s=1,https://www.tripadvisor.com/Hotel_Review-g187147-d7645653-Reviews-Hotel_Ekta-Paris_Ile_de_France.html
Hotel Eiffel Blomet,"78 rue Blomet, 75015 Paris France",966 reviews,5.0,"Finding an ideal family-friendly hotel in Paris does not have to be difficult. Welcome to Hôtel Eiffel Blomet, a nice option for travelers like you. Rooms at Hôtel Eiffel Blomet provide a flat screen TV, air conditioning, and a minibar, and guests can stay connected with free wifi. In addition, while staying at Hôtel Eiffel Blomet guests have access to a 24 hour front desk, a concierge, and room service. You can also enjoy a pool and breakfast. While staying at Hôtel Eiffel Blomet, visitors can check out The Catacombs of Paris (1.5 mi) and Champs-Elysees (2.0 mi), some of Paris' top attractions. When you’re feeling hungry, be sure to check out Pizzeria Popolare, César Restaurant, and LouLou Paris Restaurant, which are some Italian restaurants that are popular with locals and out-of-towners alike. If you’re looking for something to do, Eiffel Tower (1.2 mi), Observatoire Panoramique de la Tour Montparnasse (0.9 mi), and Musée de l’Armée des Invalides (1.1 mi) are a nice way to spend some time, and they are all within walking distance of Hôtel Eiffel Blomet. Hôtel Eiffel Blomet puts the best of Paris at your fingertips, making your stay both relaxing and enjoyable.",2,Free High Speed Internet (WiFi)|Pool|Fitness Center with Gym / Workout Room|Bar / lounge|Children Activities (Kid / Family Friendly)|Spa|24-hour security|Baggage storage|Wifi|Heated pool|Fitness / spa locker rooms|Sauna|Breakfast available|Breakfast buffet|Facial treatments|Full body massage|Hammam|Massage|Steam room|Concierge|Newspaper|Non-smoking hotel|24-hour check-in|24-hour front desk|Dry cleaning|Laundry service|Ironing service,Air conditioning|Housekeeping|Private balcony|Room service|Coffee / tea maker|Minibar|Flatscreen TV|Complimentary toiletries|Safe|Telephone|Wake-up service / alarm clock|Hair dryer,Non-smoking rooms|Suites|Family rooms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/c5/5a/d3/piscine.jpg?w=900&h=-1&s=1,https://www.tripadvisor.com/Hotel_Review-g187147-d6395273-Reviews-Hotel_Eiffel_Blomet-Paris_Ile_de_France.html
Secret de Paris - Hotel & Spa,"2 rue de Parme, 75009 Paris France","1,987 reviews",5.0,"Secret de Paris invites you to enjoy the unusual experience of travelling while staying still. You are welcomed into a dream-like Paris where monuments fade away only to come sharply back into focus, colours blend as your perception becomes disoriented by the blur of images.In the intimacy of your room, you suddenly become the privileged guest of the Musee d'Orsay, the Moulin-Rouge, the Eiffel Tower or the Garnier Opera House, each delicately evoked by an innovative and amazing approach to design and staging.",4,Paid public parking nearby|Free High Speed Internet (WiFi)|Hot tub|Sauna|Bar / lounge|Bicycle rental|Taxi service|Spa|Wifi|Coffee shop|Breakfast available|Breakfast buffet|Breakfast in the room|Couples massage|Facial treatments|Foot massage|Full body massage|Hammam|Hand massage|Head massage|Makeup services|Manicure|Massage|Neck massage|Salon|Steam room|Adults only|24-hour security|Baggage storage|Concierge|Newspaper|Non-smoking hotel|24-hour check-in|24-hour front desk|Express check-in / check-out|Dry cleaning|Laundry service,Allergy-free room|Blackout curtains|Air conditioning|Desk|Housekeeping|Minibar|Cable / satellite TV|Whirlpool bathtub|Soundproof rooms|Bathrobes|Interconnected rooms available|Room service|Safe|Telephone|VIP room facilities|Wardrobe / closet|Bottled water|Iron|Laptop safe|Private bathrooms|Tile / marble floor|Wake-up service / alarm clock|Refrigerator|Flatscreen TV|Radio|iPod docking station|Bath / shower|Complimentary toiletries|Hair dryer,Non-smoking rooms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/04/c7/2d/exterior-view.jpg?w=900&h=-1&s=1,https://www.tripadvisor.com/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris_Hotel_Spa-Paris_Ile_de_France.html
Hotel des Grands Hommes,"17 Place du Pantheon, 75005 Paris France","2,051 reviews",4.5,"If you’re looking for a boutique hotel in Paris, look no further than Hotel des Grands Hommes.Nearby landmarks such as Palais Garnier - Opéra National de Paris (1.9 mi) and Eiffel Tower (2.5 mi) make Hotel des Grands Hommes a great place to stay when visiting Paris.Hotel des Grands Hommes offers guests an array of room amenities including a flat screen TV, air conditioning, and a minibar, and getting online is possible, as free wifi is available.The hotel offers a 24 hour front desk, room service, and a concierge, to make your visit even more pleasant. The property also features breakfast. Guests arriving by vehicle have access to paid public parking available nearby.While in Paris, you may want to check out some of the restaurants that are a short walk away from Hotel des Grands Hommes, including L'As du Fallafel (1.0 mi), Le Comptoir (0.5 mi), and Le Relais de l'Entrecote (0.8 mi).There is no shortage of things to do in the area: explore popular art galleries such as Passage Verdeau, Laurence Esnol Gallery, and Cartier Foundation (Fondation Cartier Pour L'art Contemporain).The staff at Hotel des Grands Hommes looks forward to serving you during your upcoming visit.",3,Paid public parking nearby|Free High Speed Internet (WiFi)|Bar / lounge|Car hire|Baggage storage|Concierge|24-hour front desk|Dry cleaning|Wifi|Breakfast available|Breakfast buffet|Breakfast in the room|Taxi service|Newspaper|Non-smoking hotel|Laundry service,Soundproof rooms|Air conditioning|Housekeeping|Room service|Safe|Telephone|Minibar|Flatscreen TV|Wake-up service / alarm clock,Non-smoking rooms|Suites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/75/9c/b5/double-deluxe-room--v2928614.jpg?w=900&h=-1&s=1,https://www.tripadvisor.com/Hotel_Review-g187147-d219988-Reviews-Hotel_des_Grands_Hommes-Paris_Ile_de_France.html
Hotel Malte - Astotel,"63 rue de Richelieu 2nd Arr., 75002 Paris France","1,228 reviews",5.0,"Located in the 2nd district next to the Stock Exchange, the Louvre and Place des Victoires, Hotel Malta provides a superb location for a memorable stay. Whether you want to shop in the heart of the department store neighbourhood or visit one of the main business centres of Paris, Malta Hotel is the place to be. Elegantly concealed behind a facade dating from the seventeenth century, let yourself be seduced by our garden patio, a pleasurable experience on sunny days, our cozy breakfast room, and the relaxing atmosphere of our lobby. After the warm welcome by our professional team, always at your disposal, you will appreciate the comfort of our rooms decorated in an elegant and timeless design. A convenient location , caring personnel and warm atmosphere make Malta Hotel the perfect place for your stay in the capital, whether traveling with family or on your own.",4,Free High Speed Internet (WiFi)|Breakfast available|Taxi service|24-hour security|Baggage storage|24-hour check-in|24-hour front desk|Dry cleaning|Wifi|Complimentary instant cofffee|Complimentary tea|Snack bar|Special diet menus|Concierge|Newspaper|Non-smoking hotel|Laundry service,Blackout curtains|Soundproof rooms|Air conditioning|Desk|Housekeeping|Minibar|Flatscreen TV|Bath / shower|Bathrobes|Safe|Telephone|Bottled water|Wake-up service / alarm clock|Electric kettle|Complimentary toiletries|Hair dryer,Non-smoking rooms|Family rooms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/64/d9/46/outside-view.jpg?w=900&h=-1&s=1,https://www.tripadvisor.com/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html
Maison Souquet,"10 rue de Bruxelles, 75009 Paris France","1,001 reviews",5.0,"Only those in the know will experience the luxury of the Maison Souquet, hidden behind an understated facade signaled by two red lanterns. The bawdy, wanton legend of the City of Light was forged in the area around Montmartre, a legend of which the Maison Souquet now forms part. In a building that served as a pleasure house during the Belle Epoque, one of the most lavish and licentious pages in the history of Paris has been brought to life. Jacques Garcia has applied his talent to recreating the mystery, elegance, exoticism, sensuality, and ostentatious luxury of these establishments with their own architectural mores. Carried away from the city on the whimsy of the decor, the mind is free to pursue pleasure amid a fantasy setting conjured through artwork, sofas, causeuses, and divans. Perfectly at home, guests see their room open out onto a plush setting where life revolves around the ritual of tea-time, play, and rendezvous before and after dinner.",5,Free High Speed Internet (WiFi)|Pool|Bar / lounge|Airport transportation|Spa|24-hour security|Concierge|Dry cleaning|Wifi|Adult pool|Indoor pool|Heated pool|Restaurant|Breakfast available|Breakfast in the room|Head massage|Massage|Steam room|Currency exchange|Non-smoking hotel|Butler service|Laundry service,Soundproof rooms|Bathrobes|Air conditioning|Room service|Safe|VIP room facilities|Minibar|Flatscreen TV|Laptop safe|Refrigerator,Bridal suite|Non-smoking rooms|Suites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/44/43/93/lounge.jpg?w=900&h=-1&s=1,https://www.tripadvisor.com/Hotel_Review-g187147-d7182695-Reviews-Maison_Souquet-Paris_Ile_de_France.html
Hotel Eiffel Turenne,"20 avenue de Tourville, 75007 Paris France","1,065 reviews",4.5,"At a short walk to the Military Academy Square and the Invalides, discover the big charm of a cozy hotel exceptionally located in Paris.Close to the Eiffel Tower as well as to all the renowned places of the Rive Gauche, in a charming characteristic area, the hotel de Turenne Paris VII allows you to relax and enjoy a complete comfort all along your stays in Paris.During the week-end, for a trip or a work meeting, our 34 rooms grant you relax and a cozy atmosphere as well as a large panel of services :- Free secure WiFi- Air-Conditioned",3,Free High Speed Internet (WiFi)|Wifi|Bar / lounge|Breakfast buffet|Board games / puzzles|Baggage storage|Concierge|24-hour front desk|Breakfast in the room|Complimentary tea|Newspaper|Non-smoking hotel,Air conditioning|Safe|Telephone|Wake-up service / alarm clock|Flatscreen TV,Non-smoking rooms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/8a/c2/ad/cute-convenient-best.jpg?w=900&h=-1&s=1,https://www.tripadvisor.com/Hotel_Review-g187147-d194232-Reviews-Hotel_Eiffel_Turenne-Paris_Ile_de_France.html
Hotel Monge,"55 rue Monge, 75005 Paris France",866 reviews,5.0,"Located in the heart of the fifth arrondissement of Paris, between the Jardin des Plantes and Notre Dame Cathedral, this charming 4-star 30-room hotel opens its doors in spring 2016, having been completely renovated.",4,Free High Speed Internet (WiFi)|Sauna|Bar / lounge|Taxi service|Spa|24-hour security|Baggage storage|24-hour check-in|Wifi|Breakfast available|Breakfast buffet|Special diet menus|Concierge|Non-smoking hotel|24-hour front desk|Dry cleaning|Laundry service|Ironing service,Blackout curtains|Air conditioning|Private balcony|Safe|Wake-up service / alarm clock|Minibar|Flatscreen TV|Hair dryer,Non-smoking rooms|Suites|Family rooms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/74/88/b6/hotel-monge.jpg?w=900&h=-1&s=1,https://www.tripadvisor.com/Hotel_Review-g187147-d10328342-Reviews-Hotel_Monge-Paris_Ile_de_France.html
Terrass'' Hotel,"12-14 rue Joseph de Maistre, 75018 Paris France","1,300 reviews",4.5,"Ever since it first opened its doors in 1911, the Terrass"" Hôtel has been one of Montmartre's best kept secrets, just a stone's throw from the Sacré Coeur Basilica... The Terrass"" Hotel's airy location on top of Montmartre allows most of its rooms to offer breathtaking views over Paris. Redesigned as artists' dressing rooms, their décor is classic with a contemporary twist, with studio lamps, directors' chairs and tiles that are reminiscent of the Paris métro in bathrooms hidden behind frosted glass walls.",4,Free High Speed Internet (WiFi)|Yoga classes|Bar / lounge|Bicycle rental|Highchairs available|Pets Allowed ( Dog / Pet Friendly )|Airport transportation|Business Center with Internet Access|Sauna|Restaurant|Breakfast buffet|Breakfast in the room|Complimentary instant cofffee|Rooftop bar|Conference facilities|Banquet room|Meeting rooms|Couples massage|Facial treatments|Hammam|Head massage|Rooftop terrace|24-hour security|Baggage storage|Concierge|Non-smoking hotel|24-hour check-in|24-hour front desk|Laundry service,Blackout curtains|Soundproof rooms|Air conditioning|Housekeeping|Private balcony|Minibar|Flatscreen TV|Hair dryer|Room service|Safe|Telephone|Private bathrooms|Electric kettle,Non-smoking rooms|Suites|Family rooms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/a5/bd/c2/exterior.jpg?w=900&h=-1&s=1,https://www.tripadvisor.com/Hotel_Review-g187147-d198085-Reviews-Terrass_Hotel-Paris_Ile_de_France.html
Hotel des Arts - Montmartre,"5 rue Tholoze, 75018 Paris France","3,253 reviews",4.5,"Looking for a place to stay in Paris? Then look no further than Hotel des Arts - Montmartre, a romantic hotel that brings the best of Paris to your doorstep. Hotel des Arts Paris, Montmartre, offers guests an array of room amenities including a flat screen TV, a desk, and blackout curtains, and getting online is possible, as free wifi is available and Air Conditioning in all the room with personal command. The hotel offers a 24 hour front desk, a concierge, and baggage storage, to make your visit even more pleasant. The property also features breakfast. Guests arriving by vehicle have access to parking. Close to some of Paris' most popular landmarks, such as Champs-Elysees (1.7 mi) and Louvre Museum (1.7 mi), Hotel Des Arts is a great destination for tourists. Paris has plenty of French restaurants. So when you’re here, be sure to check out popular spots like 58 Tour Eiffel, Le Bouillon Chartier, and L'Avenue, which are serving up some great dishes. Paris is also known for some great castles, including Luxembourg Palace, Castel Beranger, and Chateau de la Reine Blanche, which are not too far from Hotel des Arts - Montmartre. We’re sure you’ll enjoy your stay at Hotel des Arts - Montmartre as you experience everything Paris has to offer.",4,Paid private parking nearby|Free High Speed Internet (WiFi)|Yoga room|Breakfast available|Airport transportation|Hammam|24-hour security|Baggage storage|Secured parking|Wifi|Breakfast buffet|Wine / champagne|Concierge|Newspaper|Non-smoking hotel|24-hour front desk|Express check-in / check-out|Private check-in / check-out,Blackout curtains|Soundproof rooms|Desk|Housekeeping|Safe|Telephone|Cable / satellite TV|Walk-in shower|Wardrobe / closet|Clothes rack|Iron|Laptop safe|Private bathrooms|Wake-up service / alarm clock|Flatscreen TV|Bath / shower|Complimentary toiletries|Hair dryer,City view|Landmark view|Non-smoking rooms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/23/19/ce/hotel-des-arts-montmartre.jpg?w=900&h=-1&s=1,https://www.tripadvisor.com/Hotel_Review-g187147-d506900-Reviews-Hotel_des_Arts_Montmartre-Paris_Ile_de_France.html
